ID;Categoría;Cliente escribe (disparador);Respuesta del bot;Tipo;Flag / Estado;Notas para pulir
1;Entrada;"hola / buenas / info";"¡Hola! Bienvenido a *VarMan Crew* 👟 Cuéntame, ¿qué modelo o marca buscas, o en qué te puedo ayudar?";Plantilla fija;ACTIVO;Bienvenida conversacional: espera la pregunta, no bombardea
2;Entrada;"Me interesa la Ref 51 (viene del anuncio)";"¡Esa está buenísima! 🔥 Aquí te la muestro: [FOTO] 👟 *Ref 51* · Adidas EQT · 💵 *$329.900* · ¿Qué *talla* calzas? (de la *35 a la 45*) 👟";Plantilla fija;ACTIVO;Ficha en una sola burbuja (foto+precio+talla)
3;Entrada;"precio? / cuál es el precio (pelado, sin ref)";"¡Claro! 😊 Te cuento del modelo de nuestra publicación 👇 [FICHA de la ref de pauta] + pregunta de talla";Plantilla fija;FLAG BOT_REF_PAUTA;HUECO #1: antes daba solo el rango sin cifra; la ref de pauta se elige en la app
4;Entrada;"quiero más información (de la pauta)";"¡Con gusto! 😊 ¿Buscas la Ref 51, la de nuestra publicación? Escríbeme *sí* y te paso la foto y el precio 📸, o cuéntame qué otro modelo buscas 👟.";Plantilla fija;FLAG BOT_REF_PAUTA;El "sí" muestra la ficha y sigue el pedido
5;Entrada;"muéstrame el catálogo / qué tenis tienen";"¡Con gusto! 👟 Mira todo el catálogo con fotos y precios aquí y elige el tuyo: https://varmancrew.com/#catalogo Cualquier cosa, aquí estoy 😊";Plantilla fija;ACTIVO (BOT_CATALOGO_WEB);Decisión del dueño: link, no fotos (la VM se satura). No es bug
6;Entrada;"tienen Nike? (marca que SÍ hay)";"¡Claro! De *Nike* tenemos 12 modelos 🔥 Míralos con fotos y precios aquí y elige el tuyo: [link] Desde la página lo pides de una 😊";Plantilla fija;ACTIVO;Dice cuántos modelos hay (dato real del catálogo)
7;Entrada;"tienen Balenciaga? (marca que NO hay)";"De *Balenciaga* no tengo referencias marcadas todavía 🙈, pero mira todo lo que tenemos: [link] Y si buscas un modelo puntual, cuéntame (o mándame una foto) y un asesor te confirma si te lo conseguimos 📲";Plantilla fija;ACTIVO;Nunca inventa stock
8;Entrada;"insiste por la marca que no hay ('las quiero sí o sí')";"Esas puntuales no las tengo ahorita 🙈. Ya le pasé el dato a un asesor para confirmar si te las conseguimos; en un momento te escriben 📲.";Plantilla fija;ACTIVO;Dispara aviso al 320 con el último mensaje
9;Entrada;"[manda FOTO de un modelo]";"¡Gracias por la foto! 🙌 Te cuento: soy el *asistente virtual (bot)* de VarMan Crew 🤖 y *no puedo ver las imágenes*. ¿Será alguna de estas referencias que nos están pidiendo mucho? Toca «Ver referencias» y elige la tuya 👇 Si no está, elige «Ninguna de estas 🙋» y te atiende una persona 📲.";Plantilla fija;FLAG BOT_FOTO_REFS;HUECO #4: álbum de fotos responde 1 vez POR foto (spam). Foto siempre se reenvía al 320
10;Entrada;"sí / claro / dale (suelto, sin pedido)";"[Muestra el catálogo — link de la web]";Plantilla fija;FLAG BOT_SI_CATALOGO;Antes repetía la misma pregunta en bucle
