id,title,description,availability,condition,price,link,image_link,brand
"01","Ref 01 · Adidas Deportivas","Deportivas VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","259900 COP","https://varmancrew.pages.dev/?ref=01","https://varmancrew.pages.dev/img/p005.jpg","Adidas"
"02","Ref 02 · Casuales","Casuales VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","259900 COP","https://varmancrew.pages.dev/?ref=02","https://varmancrew.pages.dev/img/p008.jpg","VarMan Crew"
"03","Ref 03 · Deportivas","Deportivas VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","235000 COP","https://varmancrew.pages.dev/?ref=03","https://varmancrew.pages.dev/img/p013.jpg","VarMan Crew"
"04","Ref 04 · Deportivas","Deportivas VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","299900 COP","https://varmancrew.pages.dev/?ref=04","https://varmancrew.pages.dev/img/p018.jpg","VarMan Crew"
"05","Ref 05 · Urbanas","Urbanas VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","480000 COP","https://varmancrew.pages.dev/?ref=05","https://varmancrew.pages.dev/img/p020.jpg","VarMan Crew"
"06","Ref 06 · Urbanas","Urbanas VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","480000 COP","https://varmancrew.pages.dev/?ref=06","https://varmancrew.pages.dev/img/p023.jpg","VarMan Crew"
"07","Ref 07 · Deportivas","Deportivas VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","269900 COP","https://varmancrew.pages.dev/?ref=07","https://varmancrew.pages.dev/img/p025.jpg","VarMan Crew"
"08","Ref 08 · Deportivas","Deportivas VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","259900 COP","https://varmancrew.pages.dev/?ref=08","https://varmancrew.pages.dev/img/p027.jpg","VarMan Crew"
"09","Ref 09 · Deportivas","Deportivas VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","289900 COP","https://varmancrew.pages.dev/?ref=09","https://varmancrew.pages.dev/img/p028.jpg","VarMan Crew"
"10","Ref 10 · Deportivas","Deportivas VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","299900 COP","https://varmancrew.pages.dev/?ref=10","https://varmancrew.pages.dev/img/p031.jpg","VarMan Crew"
"11","Ref 11 · Casuales","Casuales VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","249900 COP","https://varmancrew.pages.dev/?ref=11","https://varmancrew.pages.dev/img/p032.jpg","VarMan Crew"
"12","Ref 12 · Casuales","Casuales VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","329900 COP","https://varmancrew.pages.dev/?ref=12","https://varmancrew.pages.dev/img/p036.jpg","VarMan Crew"
"13","Ref 13 · Casuales","Casuales VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","329900 COP","https://varmancrew.pages.dev/?ref=13","https://varmancrew.pages.dev/img/p037.jpg","VarMan Crew"
"14","Ref 14 · Casuales","Casuales VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","289900 COP","https://varmancrew.pages.dev/?ref=14","https://varmancrew.pages.dev/img/p038.jpg","VarMan Crew"
"15","Ref 15 · Urbanas","Urbanas VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","369900 COP","https://varmancrew.pages.dev/?ref=15","https://varmancrew.pages.dev/img/p040.jpg","VarMan Crew"
"16","Ref 16 · Urbanas","Urbanas VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","359900 COP","https://varmancrew.pages.dev/?ref=16","https://varmancrew.pages.dev/img/p044.jpg","VarMan Crew"
"17","Ref 17 · Casuales","Casuales VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","249900 COP","https://varmancrew.pages.dev/?ref=17","https://varmancrew.pages.dev/img/p046.jpg","VarMan Crew"
"18","Ref 18 · Deportivas","Deportivas VarMan Crew, tallas 36-45. Envíos a todo Colombia.","in stock","new","269900 COP","https://varmancrew.pages.dev/?ref=18","https://varmancrew.pages.dev/img/p048.jpg","VarMan Crew"
